SCB,,,
A-regioner i nummerordning med ingående kommuner ,,,
A regions in numerical order with the associated municipalities ,,,
,,,
A-region,,Kommun,
A region,,Municipality,
,,,
47,Lindesberg                              ,,
,,1863,Hällefors
,,1885,Lindesberg
,,1864,Ljusnarsberg
,,1884,Nora
,,,
48,Västerås                                ,,
,,1961,Hallstahammar
,,1907,Surahammar
,,1980,Västerås
,,,
49,Köping                                  ,,
,,1984,Arboga
,,1960,Kungsör
,,1983,Köping
,,,
50,Fagersta                                ,,
,,1982,Fagersta
,,1962,Norberg
,,1904,Skinnskatteberg
,,,
51,Sala                                    ,,
,,0331,Heby
,,1981,Sala
,,,
52,Borlänge/Falun                          ,,
,,2081,Borlänge
,,2080,Falun
,,2026,Gagnef
,,2029,Leksand
,,2031,Rättvik
,,2082,Säter
,,2021,Vansbro
,,,
53,Avesta/Hedemora                         ,,
,,2084,Avesta
,,2083,Hedemora
,,,
54,Ludvika                                 ,,
,,2085,Ludvika
,,2061,Smedjebacken
,,,
55,Mora                                    ,,
,,2023,Malung
,,2062,Mora
,,2034,Orsa
,,2039,Älvdalen
,,,
56,Gävle/Sandviken                         ,,
,,2180,Gävle
,,2104,Hofors
,,2101,Ockelbo
,,2181,Sandviken
,,0360,Tierp
,,0319,Älvkarleby
,,,
57,Bollnäs/Söderhamn                       ,,
,,2183,Bollnäs
,,2121,Ovanåker
,,2182,Söderhamn
,,,
58,Hudiksvall/Ljusdal                      ,,
,,2184,Hudiksvall
,,2161,Ljusdal
,,2132,Nordanstig
,,,
59,Sundsvall                               ,,
,,2281,Sundsvall
,,2262,Timrå
,,2260,Ånge
,,,
60,Härnösand/Kramfors                      ,,
,,2280,Härnösand
,,2282,Kramfors
,,,
61,Sollefteå                               ,,
,,2283,Sollefteå
,,,
62,Örnsköldsvik                            ,,
,,2284,Örnsköldsvik
,,,
63,Östersund                               ,,
,,2326,Berg
,,2305,Bräcke
,,2361,Härjedalen
,,2309,Krokom
,,2303,Ragunda
,,2313,Strömsund
,,2321,Åre
,,2380,Östersund
,,,
64,Umeå                                    ,,
,,2403,Bjurholm
,,2401,Nordmaling
,,2409,Robertsfors
,,2480,Umeå
,,2404,Vindeln
,,2460,Vännäs
,,,
65,Skellefteå                              ,,
,,2418,Malå
,,2417,Norsjö
,,2482,Skellefteå
,,,
66,Lycksele                                ,,
,,2425,Dorotea
,,2481,Lycksele
,,2422,Sorsele
,,2421,Storuman
,,2462,Vilhelmina
,,2463,Åsele
,,,
67,Piteå                                   ,,
,,2506,Arjeplog
,,2505,Arvidsjaur
,,2581,Piteå
,,2560,Älvsbyn
,,,
68,Luleå/Boden                             ,,
,,2582,Boden
,,2510,Jokkmokk
,,2580,Luleå
,,,
69,Haparanda/Kalix                         ,,
,,2583,Haparanda
,,2514,Kalix
,,2513,Överkalix
,,2518,Övertorneå
,,,
70,Kiruna/Gällivare                        ,,
,,2523,Gällivare
,,2584,Kiruna
,,2521,Pajala
